artifact_id,artifact_type,name,upstream,revision,location,sha256,digest_algorithm,license,notice,use,vendoring,approval
commons-math3,dependency,org.apache.commons:commons-math3,https://commons.apache.org/proper/commons-math,3.6.1,gradle-cache,1e56d7b058d28b65abd256b8458e3885b674c1d588fa43cd7d1cbb9c7ef2b308,sha256-file-v1,Apache-2.0,not-vendored,JMH transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-jupiter,dependency,org.junit.jupiter:junit-jupiter,https://github.com/junit-team/junit5,5.13.4,gradle-cache,b960f79217dd01c863031b678f07df4730bbf1eac650c74ad6b0c61faad78379,sha256-file-v1,EPL-2.0,not-vendored,test aggregate,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-jupiter-api,dependency,org.junit.jupiter:junit-jupiter-api,https://github.com/junit-team/junit5,5.13.4,gradle-cache,d1bb81abfd9e03418306b4e6a3390c8db52c58372e749c2980ac29f0c08278f1,sha256-file-v1,EPL-2.0,not-vendored,test API,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-jupiter-engine,dependency,org.junit.jupiter:junit-jupiter-engine,https://github.com/junit-team/junit5,5.13.4,gradle-cache,027404a92fe618b72465792a257951495c503a7d5751e2791e0f51c87f67f5bc,sha256-file-v1,EPL-2.0,not-vendored,test engine,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-jupiter-params,dependency,org.junit.jupiter:junit-jupiter-params,https://github.com/junit-team/junit5,5.13.4,gradle-cache,3a8c6365716dbb698c0d49a05456c1e1ad05c406613c550f9dd50037872efc41,sha256-file-v1,EPL-2.0,not-vendored,parameterized tests,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-platform-commons,dependency,org.junit.platform:junit-platform-commons,https://github.com/junit-team/junit5,1.13.4,gradle-cache,1c25ca641ebaae44ff3ad21ca1b2ef68d0dd84bfeb07c4805ba7840899b77408,sha256-file-v1,EPL-2.0,not-vendored,test transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-platform-engine,dependency,org.junit.platform:junit-platform-engine,https://github.com/junit-team/junit5,1.13.4,gradle-cache,390c5f77b84283a64b644f88251b397e0b0debb80bdcc50f899881aecff43a5a,sha256-file-v1,EPL-2.0,not-vendored,test transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
junit-platform-launcher,dependency,org.junit.platform:junit-platform-launcher,https://github.com/junit-team/junit5,1.13.4,gradle-cache,0b0beaeb6880a31149641d2d848b863712885469670c12099586d7f798522564,sha256-file-v1,EPL-2.0,not-vendored,test launcher,Gradle fetched,approved:2026-08-09:project-owner-decision
apiguardian-api,dependency,org.apiguardian:apiguardian-api,https://github.com/apiguardian-team/apiguardian,1.1.2,gradle-cache,b509448ac506d607319f182537f0b35d71007582ec741832a1f111e5b5b70b38,sha256-file-v1,Apache-2.0,not-vendored,test transitive API,Gradle fetched,approved:2026-08-09:project-owner-decision
opentest4j,dependency,org.opentest4j:opentest4j,https://github.com/ota4j-team/opentest4j,1.3.0,gradle-cache,48e2df636cab6563ced64dcdff8abb2355627cb236ef0bf37598682ddf742f1b,sha256-file-v1,Apache-2.0,not-vendored,test transitive API,Gradle fetched,approved:2026-08-09:project-owner-decision
legacy-ingres-source,reference,Ingres source workspace tree,http://code.ingres.com/ingres/main,svn-r3970,external-workspace:ingres,eb573e56fbe635352042cb376fcc8c51753825f228d1361b7e12d1447bba4aab,river-tree-sha256-v2,GPL-2.0,external-file:README.txt,core functionality and kernel design/test reference,external workspace reference,approved:2026-08-09:project-owner-decision
legacy-ingres-tests,reference,Ingres historical tests workspace tree,http://code.ingres.com/ingres/main/src/tst,svn-r1000,external-workspace:tests,51b7a093fe9c650bb54f22478a12035539257f0ad825250d1207ed536eec3d3c,river-tree-sha256-v2,GPL-2.0,external-file:README.txt,core kernel and semantic test reference,external workspace reference,approved:2026-08-09:project-owner-decision
